,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
5755,5755,,,,,0.9091,,,19501.0,,,,Malden,,,COED,Certificate,42.4267,-71.0783,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private for-profit,0.0318,0.4947,0.9200000166893,0.1696,,0.5406,,0.401,,0.2367,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Medical Professional Institute,www.mpi.edu,3580.0,MA,,,444769,283.0,02148-8143,0.87999999523162,25200.27
5756,5756,,,,,,,24685.0,,"Special Focus Institutions--Theological seminaries, Bible colleges, and other faith-related institutions",,,Charlotte,0.4,1882.0,COED,Graduate,35.243,-80.8025,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,Private nonprofit,0.0164,0.6803,0.55000001192092,0.0164,,0.5574,0.2143,0.6168,,0.1557,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,New Life Theological Seminary,www.nlts.edu,2021.0,NC,8380.0,8380.0,444778,122.0,28205-1648,0.97000002861022,30490.45
5757,5757,,,,,,,,,,,,Ogden,,6388.0,COED,Associate,41.1879,-111.949,,,,,Private for-profit,0.0116,0.0349,0.85000002384185,0.0349,,0.0,0.8182,0.4948,,0.9186,Associate,"Rocky Mountains (CO, ID,MT, UT, WY)",,,,,,Nightingale College,www.nightingale.edu,31836.0,UT,,,444787,86.0,84403,0.57999998331069,34878.81
5758,5758,,,,,,,,21644.0,,,,Tucker,,,COED,Certificate,33.7489,-84.2274,PrivacySuppressed,22000,PrivacySuppressed,18600,Private for-profit,0.0217,0.8696,0.31999999284744,0.0,,0.0,,0.9754,,0.0326,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Omnitech Institute,www.omnitech.edu,6711.0,GA,,,444796,92.0,30084,0.68999999761581,25517.5
5759,5759,,,,,,,,24242.0,,,,Glenside,,,COED,Certificate,40.1028,-75.1516,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0138,0.9308,,0.0173,,0.3149,,0.4949,,0.0242,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,PITC Institute,www.pitc.edu,2419.0,PA,,,444811,289.0,19038-4001,,
5760,5760,,,,,,,,17123.0,,,,Salt Lake City,,,COED,Certificate,40.7249,-111.8842,PrivacySuppressed,26700,PrivacySuppressed,24700,Private for-profit,0.0536,0.0179,0.94999998807907,0.1607,,0.0,,0.2632,,0.6786,Certificate,"Rocky Mountains (CO, ID,MT, UT, WY)",,,,,,Skinworks School of Advanced Skincare,www.skinworks.edu,2510.0,UT,,,444857,56.0,84115,0.76999998092651,36881.08
5761,5761,,,,,0.7692,,,24555.0,,,,Columbia,,,COED,Certificate,34.0281,-81.0923,,21500,,18700,Private for-profit,0.0,0.6045,0.87999999523162,0.0508,,0.3729,,0.5816,,0.3051,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Southeastern Institute-Columbia,www.southeasterninstitute.com,2581.0,SC,,,444866,177.0,29210,0.75999999046325,28879.3
5762,5762,,,,,,,,29299.0,,,,Washington,,,COED,Certificate,38.9013,-77.0405,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0103,0.9414,0.74000000953674,0.0069,,0.0,,0.9177,,0.0138,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Technical Learning Centers Inc,www.tlc-corp.com,894.0,DC,,,444893,290.0,20006-5540,0.72000002861022,6908.19
5763,5763,,,,,,,,11052.0,,,,Cresco,,,COED,Certificate,43.3827,-92.1208,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0,0.0,1,0.0,,0.0,,0.3793,,1.0,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Total Look School of Cosmetology & Massage Therapy,www.totallookschool.com/,7060.0,IA,,,444909,5.0,52136,0.55000001192092,28602.65
5764,5764,,,,,,,29827.0,,"Special Focus Institutions--Schools of art, music, and design",,,Tucson,0.0,4111.0,COED,Bachelors,32.2515,-110.8848,29100,26800,25200,25500,Private for-profit,0.0047,0.0352,0.85000002384185,0.4413,,0.284,0.14,0.6995,,0.2934,Bachelors,"Southwest (AZ, NM, OK, TX)",,,,,,The Art Institute of Tucson,www.artinstitutes.edu/tucson,3786.0,AZ,17416.0,17416.0,444927,426.0,85712,0.51999998092651,27226.61
5765,5765,,,,,,,,9026.0,,,,Casa Grande,,,COED,Certificate,32.8808,-111.7334,,PrivacySuppressed,,PrivacySuppressed,Private for-profit,0.0,0.0612,0.98000001907348,0.6122,,0.0,,0.9655,,0.2653,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Turning Point Beauty College,turningpointbeauty.com,5972.0,AZ,,,444936,49.0,85122,0.60000002384185,22446.97
5766,5766,,,,,,,,22407.0,,,,Lafayette,,,COED,Certificate,30.1761,-92.0696,,18300,,16700,Private for-profit,0.0078,0.6822,0.93000000715255,0.0,,0.0,,0.8983,,0.3101,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Unitech Training Academy-Lafayette,www.unitechtrainingacademy.com,2786.0,LA,,,444945,129.0,70503,0.64999997615814,13645.54
5767,5767,,,,,,,11846.0,,Associate's--Public Rural-serving Medium,"Medium 2-year (2000 to 4,999)",Mixed part/full-time two-year,Huntington,,4531.0,COED,Associate,38.4202,-82.4292,,PrivacySuppressed,,PrivacySuppressed,Public,0.0024,0.0872,0.58999997377395,0.0034,,0.3386,0.2601,0.4245,,0.8241,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Mountwest Community and Technical College,www.mctc.edu,5170.0,WV,3354.0,8774.0,444954,2041.0,25701,0.56000000238418,50193.93
5768,5768,,,,,,,27181.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Columbia,,3661.0,COED,Associate,34.0747,-80.9449,22600,19100,20600,18200,Private for-profit,0.0,0.7813,0.86000001430511,0.0469,,0.5156,,0.3443,,0.1719,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Centura College-Columbia,www.centuracollege.edu,3622.0,SC,,,444972,64.0,29223,0.66000002622604,20139.27
5769,5769,,,,,,,,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, inclusive",Tallahassee,,5097.0,COED,Bachelors,30.4447,-84.3411,40200,30400,37200,29600,Private nonprofit,0.0277,0.2431,0.63999998569488,0.032,,0.0661,0.2075,0.653,,0.6951,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Flagler College-Tallahassee,www.flagler.edu,3233.0,FL,,,444990,469.0,32304,0.17000000178813,72203.48
5770,5770,,,,,,,12528.0,,Associate's--Public Rural-serving Small,"Small 2-year (500 to 1,999)",Higher part-time two-year,South Charleston,,4738.0,COED,Associate,38.3826,-81.7654,,PrivacySuppressed,,PrivacySuppressed,Public,0.0083,0.1181,0.75,0.0039,,0.3684,0.4558,0.5634,,0.8126,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Kanawha Valley Community and Technical College,www.kvctc.edu,6499.0,WV,3560.0,8500.0,445018,1558.0,25303,0.56000000238418,46476.27
5771,5771,,,,,,,22497.0,,Master's Colleges and Universities (larger programs),"Large 4-year, primarily nonresidential (over 9,999)","Full-time four-year, inclusive",Schaumburg,0.3122,5713.0,COED,Graduate,42.0647,-88.2177,52100,35800,43000,29700,Private for-profit,0.0121,0.4175,0.63999998569488,0.0622,,0.4615,,0.6983,,0.3972,Bachelors,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,American InterContinental University-Online,www.aiuniv.edu,1124.0,IL,13345.0,13345.0,445027,10103.0,60173,0.73000001907348,37893.63
5772,5772,,,,,,,26698.0,,Baccalaureate/Associate's Colleges,"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, inclusive",Atlanta,0.2365,4055.0,COED,Bachelors,33.7848,-84.3899,34200,26600,29800,24400,Private for-profit,0.0089,0.8326,0.49000000953674,0.0089,,0.221,,0.9781,,0.0558,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Westwood College-Atlanta Midtown,www.westwood.edu,3048.0,GA,14669.0,14669.0,445072,448.0,30309,0.41999998688697,43299.88
5773,5773,,,,,0.9048,,25911.0,,Special Focus Institutions--Other technology-related schools,,,Eden Prairie,0.2989,5008.0,COED,Bachelors,44.841,-93.4427,42300,33700,38400,30300,Private for-profit,0.0865,0.0481,0.27000001072883,0.0385,,0.2885,0.0513,0.6532,,0.7885,Associate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,ITT Technical Institute-Eden Prairie,www.itt-tech.edu,5658.0,MN,18048.0,18048.0,445081,208.0,55344,0.5,42443.27
5774,5774,,,,,,,22176.0,,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Medium full-time two-year,Mobile,,3147.0,COED,Associate,30.6759,-88.1365,30500,22900,26400,20400,Private for-profit,0.0053,0.6613,0.69999998807907,0.0,,0.2424,,0.8466,,0.287,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Virginia College-Mobile,www.vc.edu,8556.0,AL,11883.0,11883.0,445090,561.0,36608,0.58999997377395,24987.16
5775,5775,,,,,,,20537.0,,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Las Vegas,,4140.0,COED,Associate,36.1881,-115.3126,36800,27800,32900,26100,Private for-profit,0.0545,0.195,0.36000001430511,0.0281,,0.0,,0.6139,,0.3719,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Le Cordon Bleu College of Culinary Arts-Las Vegas,www.chefs.edu/las-vegas,3280.0,NV,12911.0,12911.0,445115,605.0,89144,0.52999997138977,48150.02
5776,5776,,,,,,,20796.0,,"Special Focus Institutions--Schools of art, music, and design",,,Troy,0.2217,4794.0,COED,Bachelors,42.5506,-83.1185,29100,24100,25200,21000,Private for-profit,0.0058,0.0893,0.68999999761581,0.0115,,0.2565,,0.7275,,0.1153,Bachelors,"Great Lakes (IL, IN, MI, OH, WI)",,,,,,International Academy of Design and Technology-Troy,www.iadtdetroit.com,3309.0,MI,15247.0,15247.0,445124,347.0,48083,0.34000000357627,41891.84
5777,5777,,,,,,,24724.0,,Special Focus Institutions--Schools of business and management,,,Houston,0.2759,5922.0,COED,Graduate,29.7282,-95.5483,52100,35800,43000,29700,Private for-profit,0.0194,0.2894,0.63999998569488,0.0929,,0.4449,,0.6667,,0.0324,Bachelors,"Southwest (AZ, NM, OK, TX)",,,,,,American InterContinental University-Houston,www.houston.aiuniv.edu,2889.0,TX,14675.0,14675.0,445133,463.0,77042,0.73000001907348,37893.63
5778,5778,,,,,,,,,,,,Houston,,,COED,Associate,29.8067,-95.4439,30100,27000,27200,24700,Private for-profit,0.0123,0.1975,0.87999999523162,0.1235,,0.0,,0.6316,,0.0741,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Sanford-Brown College-Houston North Loop,www.sanfordbrown.edu/northloop,7008.0,TX,,,445142,81.0,77008,0.62000000476837,28140.86
5779,5779,21.0,20.0,22.0,,0.7551,,30637.0,,,,,Merced,0.5674,8657.0,COED,Graduate,37.3662,-120.4249,,,,,Public,0.2534,0.0629,0.57999998331069,0.4391,,0.0105,0.8201,0.5977,,0.1526,Bachelors,"Far West (AK, CA, HI, NV, OR, WA)",,525.0,1010.0,495.0,495.0,University of California-Merced,www.ucmerced.edu,7586.0,CA,13160.0,36038.0,445188,5837.0,95343-5603,0.10999999940395,59783.54
5780,5780,,,,,,,25893.0,,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Fort Worth,,4032.0,COED,Associate,32.8382,-97.3013,26100,21900,23900,19800,Private for-profit,0.0119,0.1881,0.82999998331069,0.3564,,0.0891,,0.711,,0.3762,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Everest College-Fort Worth,www.everest.edu/campus/ft_worth,5085.0,TX,14976.0,14976.0,445197,505.0,76137,0.61000001430511,25760.56
5781,5781,,,,,0.7808,,26917.0,,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Houston,,3601.0,COED,Associate,29.9467,-95.4249,30200,21600,27200,20500,Private nonprofit,0.0084,0.3734,0.81000000238418,0.4873,,0.0,,0.7486,,0.1097,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Remington College-North Houston Campus,www.remingtoncollege.edu/north-houston-texas-colleges,4166.0,TX,15995.0,15995.0,445203,474.0,77067,0.49000000953674,18065.27
5782,5782,,,,,,,,19171.0,,,,Oviedo,,,COED,Certificate,28.633,-81.3216,23600,23700,16900,19500,Private for-profit,0.0119,0.0714,0.88999998569488,0.254,,0.2897,,0.4672,,0.6032,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Paul Mitchell the School-Orlando,orlando.paulmitchell.edu/,3328.0,FL,,,445212,252.0,32765,0.34999999403953,50408.99
5783,5783,,,,,,,,24183.0,,,,Maplewood,,,COED,Certificate,45.0321,-93.0165,22400,20600,19600,19400,Private for-profit,0.0862,0.1724,0.95999997854232,0.0862,,0.2931,,0.6903,,0.4828,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Regency Beauty Institute-Maplewood,www.regency.edu,7698.0,MN,,,445221,58.0,55109,0.28000000119209,54086.48
5784,5784,,,,,,,,23582.0,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Las Vegas,,5328.0,COED,Associate,36.1141,-115.1022,29200,26900,27600,25500,Private for-profit,0.1444,0.111,0.85000002384185,0.3045,,0.0,0.4773,0.4923,,0.3664,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,Pima Medical Institute-Las Vegas,pmi.edu,1854.0,NV,,,445230,1018.0,89121,0.57999998331069,30371.87
5785,5785,,,,,0.8315,,30472.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Nashville,,3254.0,COED,Associate,36.1523,-86.6656,30000,18700,26200,16800,Private nonprofit,0.0168,0.2349,0.82999998331069,0.0738,,0.0,,0.662,,0.6342,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Remington College-Nashville Campus,www.remingtoncollege.edu/nashville-tennessee-career-colleges-overview,6277.0,TN,15995.0,15995.0,445249,298.0,37214,0.57999998331069,17424.25
5786,5786,,,,,,,,25744.0,Associate's--Private For-profit 4-year Primarily Associate's,Very small 2-year (less than 500),Higher full-time two-year,Oklahoma City,0.5908,3989.0,COED,Bachelors,35.6111,-97.5638,22800,26600,20600,23300,Private for-profit,0.0075,0.3083,0.83999997377395,0.0489,,0.0,0.3214,0.8026,,0.5263,Associate,"Southwest (AZ, NM, OK, TX)",,,,,,Platt College-North OKC,www.plattcolleges.edu,4353.0,OK,,,445258,266.0,73134,0.66000002622604,22822.44
5787,5787,,,,,,,,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily nonresidential (less than 1,000,)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Fayette,,4869.0,COED,Graduate,39.1504,-92.6862,35400,31300,33400,29000,Private nonprofit,0.0012,0.0296,0.61000001430511,0.0025,,0.2377,0.0435,0.1925,,0.5191,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",United Methodist,,,,,Central Methodist University-College of Graduate and Extended Studies,www.centralmethodist.edu,1732.0,MO,,,445267,1624.0,65248-1198,0.31000000238418,55714.2
5788,5788,,,,,,,28444.0,,Baccalaureate/Associate's Colleges,"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, inclusive",Atlanta,0.3727,3928.0,COED,Bachelors,33.8534,-84.2481,33900,26000,32400,24800,Private for-profit,0.0143,0.7524,0.61000001430511,0.019,,0.1976,,0.9542,,0.0905,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Westwood College-Northlake,www.westwood.edu,3852.0,GA,14664.0,14664.0,445276,420.0,30345,0.4699999988079,34787.43
5789,5789,,,,,,,22602.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, inclusive",Jersey City,0.0727,2594.0,COED,Bachelors,40.7268,-74.0331,60500,44300,53400,38200,Private for-profit,0.0176,0.2505,0.6700000166893,0.1934,,0.0,0.3929,0.6168,,0.0462,Bachelors,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,University of Phoenix-Jersey City Campus,www.phoenix.edu,3001.0,NJ,10224.0,10224.0,445300,455.0,07310-1756,0.86000001430511,47023.93
5790,5790,,,,,,,25594.0,,Master's Colleges and Universities (smaller programs),"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, inclusive",Saint Louis Park,0.1053,1587.0,COED,Graduate,44.9752,-93.4048,60500,44300,53400,38200,Private for-profit,0.0719,0.1503,0.6700000166893,0.0458,,0.0,0.1429,0.6091,,0.3464,Bachelors,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,University of Phoenix-Minneapolis St Paul Campus,www.phoenix.edu,3334.0,MN,12400.0,12400.0,445319,153.0,55426-4915,0.86000001430511,47023.93
5791,5791,,,,,,,,23945.0,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Fort Worth,,3378.0,COED,Associate,32.7483,-97.2889,26000,21300,23600,19200,Private for-profit,0.0152,0.2803,0.79000002145767,0.4129,,0.0,0.1667,0.3694,,0.2652,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Kaplan College-Fort Worth,www.kaplancollege.com/fort-worth-tx/,3430.0,TX,,,445328,264.0,76103-2310,0.54000002145767,21584.59
5792,5792,,,,,,,,26399.0,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Lubbock,,3536.0,COED,Associate,33.5869,-101.8509,24000,20800,20400,17700,Private for-profit,0.0,0.1358,0.80000001192092,0.6453,,0.0,0.0588,0.6889,,0.2075,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Kaplan College-Lubbock,www.kaplancollege.com/lubbock-tx/,2768.0,TX,,,445346,265.0,79401,0.58999997377395,16792.27
5793,5793,,,,,1.0,,,24548.0,,,,Riverside,,,COED,Certificate,33.9083,-117.4507,23800,28300,21700,25700,Private for-profit,0.0612,0.0969,0.86000001430511,0.426,,0.0,,0.7459,,0.1531,Certificate,"Far West (AK, CA, HI, NV, OR, WA)",,,,,,North-West College-Riverside,www.north-westcollege.edu,2906.0,CA,,,445364,392.0,92503,0.60000002384185,25604.77
5794,5794,,,,,,,,27287.0,,,,Chelsea,,,COED,Certificate,42.3934,-71.0397,26700,22600,26100,21200,Private for-profit,0.0253,0.1567,0.81999999284744,0.447,,0.0,,0.7825,,0.2972,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Everest Institute-Chelsea,www.everest.edu/campus/chelsea,3985.0,MA,,,445373,434.0,2150,0.46000000834465,22003.95
5795,5795,,,,,,,,27005.0,,,,Eagan,,,COED,Certificate,44.8588,-93.1397,29900,20800,25200,18600,Private for-profit,0.104,0.3119,0.81999999284744,0.0948,,0.0,,0.731,,0.3303,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Everest Institute-Eagan,www.everest.edu/campus/eagan,4644.0,MN,,,445382,327.0,55121-1696,0.63999998569488,22929.77
5796,5796,,,,,,,23434.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, primarily nonresidential (less than 1,000,)","Full-time four-year, inclusive",Louisville,0.125,2514.0,COED,Graduate,38.2239,-85.5636,60500,44300,53400,38200,Private for-profit,0.0,0.2857,0.6700000166893,0.0394,,0.0,,0.729,,0.3596,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,University of Phoenix-Louisville Campus,www.phoenix.edu/,2581.0,KY,10240.0,10240.0,445391,203.0,40223-3839,0.86000001430511,47023.93
5797,5797,,,,,,,26993.0,,Baccalaureate/Associate's Colleges,"Small 4-year, primarily nonresidential (1,000 to 2,999)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Orange Park,0.4824,3556.0,COED,Bachelors,30.1888,-81.7067,29300,24000,26200,20700,Private for-profit,0.0169,0.4276,0.75999999046325,0.0689,,0.1913,,0.752,,0.4318,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Everest University-Orange Park,www.everest.edu/campus/orange_park,4772.0,FL,14796.0,14796.0,445434,711.0,32073,0.72000002861022,25657.82
5798,5798,,,,,,,,27493.0,,,,Houston,,,COED,Certificate,29.6773,-95.545,28000,24300,28600,23200,Private for-profit,0.0236,0.5771,0.87000000476837,0.2752,,0.0,,0.6966,,0.0824,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Everest Institute-Bissonnet,www.everest.edu/campus/houston_bissonnet,3980.0,TX,,,445461,934.0,77036-8001,0.56999999284744,28160.32
5799,5799,,,,,,,28204.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Vienna,,3434.0,COED,Associate,38.9323,-77.2343,28500,24300,24700,21100,Private for-profit,0.0759,0.3629,0.79000002145767,0.2827,,0.1224,,0.5642,,0.135,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Everest College-McLean,www.everest.edu/campus/tysons_corner,7680.0,VA,14688.0,14688.0,445470,237.0,22182,0.63999998569488,25797.85
5800,5800,,,,,,,,11597.0,,,,Aguada,,,COED,Certificate,18.3821,-67.1995,,18100,,15200,Private for-profit,0.0,0.0,0,1.0,,0.0,,1.0,,0.0,Certificate,"Outlying Areas (AS, FM,GU, MH, MP, PR, PW, VI)",,,,,,Colegio Tecnico de Electricidad Galloza,www.ctegpr.com/CTEG_Web/,3958.0,PR,,,445498,76.0,602,0.68999999761581,14471.61
5801,5801,,,,,,,,17066.0,,,,Saint Paul,,,COED,Certificate,44.9507,-93.0198,24100,23500,23300,22800,Private for-profit,0.0789,0.3816,0.93999999761581,0.0658,,0.3026,,0.7778,,0.1974,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Empire Beauty School-St Paul,www.empire.edu,10966.0,MN,,,445504,76.0,55119-7003,0.36000001430511,51212.98
5802,5802,,,,,,,,12262.0,,,,Conway,,,COED,Certificate,35.1091,-92.446,17300,15100,15400,12800,Private for-profit,0.0149,0.209,0.93999999761581,0.0149,,0.0,,0.6907,,0.7612,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Arthur's Beauty School Inc-Conway,www.arthursbeautycollege.com,8409.0,AR,,,445540,67.0,72032,0.4699999988079,24660.03
5803,5803,,,,,,,22233.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,St Charles,,3993.0,COED,Associate,38.7907,-90.5503,32400,25400,28700,22300,Private for-profit,0.0,0.1672,0.34999999403953,0.0,,0.0,0.2778,0.3276,,0.7541,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Vatterott College-St Charles,www.vatterott.edu,1910.0,MO,12567.0,12567.0,445559,305.0,63301,0.6700000166893,21757.84
5804,5804,,,,,,,27069.0,,,,,North Brunswick,,,COED,Certificate,40.4671,-74.4443,52900,30400,49200,27200,Private for-profit,0.0375,0.3003,0.54000002145767,0.3311,,0.0,,0.5838,,0.2628,Certificate,"Mid East (DE, DC, MD, NJ, NY, PA)",,,,,,Anthem Institute-North Brunswick,www.anthem.edu,1374.0,NJ,13567.0,13567.0,445577,293.0,8902,0.56000000238418,40413.74
5805,5805,,,,,,,28875.0,,Associate's--Private For-profit,"Small 2-year (500 to 1,999)",Higher full-time two-year,Memphis,,3279.0,COED,Associate,35.167,-89.8671,28700,22900,27700,21900,Private for-profit,0.0023,0.8471,0.73000001907348,0.0091,,0.0,0.3333,0.7779,,0.0079,Certificate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Anthem Career College-Memphis,www.anthem.edu,814.0,TN,13355.0,13355.0,445601,883.0,38134,0.56999999284744,31704.68
5806,5806,,,,,,,30463.0,,Associate's--Private For-profit,Very small 2-year (less than 500),Higher full-time two-year,Kansas City,,3537.0,COED,Associate,38.9661,-94.6076,31900,26000,29500,23600,Private for-profit,0.0135,0.3784,0.73000001907348,0.0405,,0.0,,0.6947,,0.3784,Certificate,"Plains (IA, KS, MN, MO, NE, ND, SD)",,,,,,Anthem College-Kansas City,www.anthem.edu,2353.0,MO,14563.0,14563.0,445610,74.0,64114,0.56999999284744,31704.68
5807,5807,,,,,,,,24787.0,,,,Ipswich,,,COED,Certificate,42.6886,-70.8494,26200,22500,22300,20000,Private for-profit,0.0698,0.0,0.9200000166893,0.0465,,0.3953,,0.3419,,0.8605,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Spa Tech Institute-Ipswich,www.spatech.edu,13149.0,MA,,,445638,43.0,1938,0.61000001430511,45488.41
5808,5808,,,,,,,,20857.0,,,,Westboro,,,COED,Certificate,42.286,-71.6357,26200,22500,22300,20000,Private for-profit,0.0108,0.0215,0.9200000166893,0.0968,,0.5269,,0.3015,,0.828,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Spa Tech Institute-Westboro,www.spatech.edu,11396.0,MA,,,445647,93.0,1581,0.61000001430511,45488.41
5809,5809,,,,,,,,17285.0,,,,Plymouth,,,COED,Certificate,41.9585,-70.7045,26200,22500,22300,20000,Private for-profit,0.0,0.0221,0.9200000166893,0.0294,,0.5147,,0.3706,,0.6765,Certificate,"New England (CT, ME, MA, NH, RI, VT)",,,,,,Spa Tech Institute-Plymouth,www.spatech.edu,12518.0,MA,,,445656,136.0,2360,0.61000001430511,45488.41
5810,5810,,,,,,,,20021.0,,,,San Antonio,,,COED,Certificate,29.5116,-98.3829,23200,17300,18900,15200,Private for-profit,0.0,0.5365,0.9200000166893,0.3176,,0.0,,0.6566,,0.0987,Certificate,"Southwest (AZ, NM, OK, TX)",,,,,,Milan Institute of Cosmetology-San Antonio Walzem,www.milaninstitute.edu,1905.0,TX,,,445665,233.0,78218,0.50999999046325,22367.21
